name,category,description,compatibility,tools,mcp_servers,repo,license
accessibility-auditor,accessibility,"Expert accessibility specialist who audits interfaces against WCAG standards, tests with assistive technologies, and ens",fully-compatible,read_file|glob|write_file,,Raheel2774/agency-agents;JosephHampton/awesome-gemini-cli-subagents,MIT;NOASSERTION
accessibility-expert,accessibility,"Expert accessibility specialist ensuring WCAG compliance, inclusive design, and assistive technology compatibility. Mast",fully-compatible,,,wshobson/agents,MIT
accessibility-specialist,accessibility,The Accessibility Specialist ensures the game is playable by the widest possible audience. They enforce accessibility st,fully-compatible,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
accessibility-tester,accessibility,"Use this agent when you need comprehensive accessibility testing, WCAG compliance verification, or assessment of assisti",fully-compatible,read_file|grep|glob|run_shell_command,,VoltAgent/awesome-claude-code-subagents;ankitmundada/awesome-gemini-cli-subagents,MIT;MIT
inclusive-visuals-specialist,accessibility,"Representation expert who defeats systemic AI biases to generate culturally accurate, affirming, and non-stereotypical i",fully-compatible,,,Raheel2774/agency-agents,MIT
accounts-payable-agent,ai,"Autonomous payment processing specialist that executes vendor payments, contractor invoices, and recurring bills across ",fully-compatible,,,Raheel2774/agency-agents,MIT
agent-installer,ai,"Install Gemini CLI agents from the awesome-gemini-cli-subagents repository. Use when the user wants to browse, search, o",needs-tool-mapping,run_shell_command|web_fetch|read_file|write_file|glob,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT;MIT
agent-name,ai,"One paragraph describing what this agent does, who it's for, and when to activate it.",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
agent-orchestration-context-manager,ai,"Elite AI context engineering specialist mastering dynamic context management, vector databases, knowledge graphs, and in",fully-compatible,,,wshobson/agents;wshobson/agents,MIT;MIT
agent-organizer,ai,"A highly advanced AI agent that functions as a master orchestrator for complex, multi-agent tasks. It analyzes project r",fully-compatible,read_file|write_file|edit_file|grep|glob|run_shell_command|todo,,lst97/claude-code-sub-agents;ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT;MIT;MIT
agentic-identity-trust-architect,ai,"Designs identity, authentication, and trust verification systems for autonomous AI agents operating in multi-agent envir",fully-compatible,,,Raheel2774/agency-agents,MIT
agentic-search-optimizer,ai,Expert in WebMCP readiness and agentic task completion — audits whether AI agents can actually accomplish tasks on your ,fully-compatible,,,Raheel2774/agency-agents,MIT
agents-orchestrator,ai,Autonomous pipeline manager that orchestrates the entire development workflow. You are the leader of this process.,fully-compatible,,,Raheel2774/agency-agents,MIT
ai-citation-strategist,ai,"Expert in AI recommendation engine optimization (AEO/GEO) — audits brand visibility across ChatGPT, Claude, Gemini, and ",fully-compatible,,,Raheel2774/agency-agents,MIT
ai-engineer-ai,ai,"Build production-ready LLM applications, advanced RAG systems, and intelligent agents. Implements vector search, multimo",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep|list_dir|web_search|web_fetch|mcp__context7__resolve-library-id|mcp__context7__get-library-docs|mcp__sequential-thinking__sequentialthinking,context7|sequential-thinking,wshobson/agents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents;lst97/claude-code-sub-agents,MIT;MIT;MIT;MIT
ai-programmer,ai,"The AI Programmer implements game AI systems: behavior trees, state machines, pathfinding, perception systems, decision-",fully-compatible,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
ai-recon,ai,Delegates to this agent when the user wants to map the AI attack surface of an authorized web application before validat,fully-compatible,run_shell_command|read_file|write_file|edit_file|grep|glob|web_fetch|web_search,,0xSteph/pentest-ai-agents,MIT
bullmq-expert,ai,"Expert in BullMQ task queue library for Node.js, specializing in advanced queue management, job processing, and performa",fully-compatible,,,0xfurai/claude-code-subagents,MIT
clinical-evidence-agent,ai,Evidence standards and clinical credibility framework for AI agents operating in healthcare contexts. Defines how to dis,fully-compatible,,,Raheel2774/agency-agents,MIT
code-mapper,ai,"Use when the parent agent needs a high-confidence map of code paths, ownership boundaries, and execution flow before cha",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
codebase-orchestrator,ai,"Use this agent when you need repository-wide refactor governance with explicit approval loops, weighted risk prioritizat",needs-tool-mapping,read_file|write_file|edit_file|run_shell_command|glob|grep|web_fetch,,VoltAgent/awesome-claude-code-subagents,MIT
context-manager,ai,"Expert context manager specializing in information storage, retrieval, and synchronization across multi-agent systems. M",needs-tool-mapping,read_file|write_file|edit_file|glob|grep,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT;MIT
council-sutskever,ai,"Council member. Use standalone for scaling frontier & AI safety analysis, or via /council for multi-perspective delibera",fully-compatible,read_file|grep|glob|run_shell_command|web_search|web_fetch,,0xNyk/council-of-high-intelligence,MIT
council-taleb,ai,"Council member. Use standalone for antifragility & tail risk analysis, or via /council for multi-perspective deliberatio",fully-compatible,read_file|grep|glob|run_shell_command|web_search|web_fetch,,0xNyk/council-of-high-intelligence,MIT
council-torvalds,ai,"Council member. Use standalone for pragmatic engineering & shipping analysis, or via /council for multi-perspective deli",fully-compatible,read_file|grep|glob|run_shell_command|web_search|web_fetch,,0xNyk/council-of-high-intelligence,MIT
cs-aeo,ai,Answer Engine Optimization (AEO) specialist agent. Use when content needs to be optimized for citation by AI language mo,fully-compatible,read_file|write_file|run_shell_command|web_fetch|web_search,,alirezarezvani/claude-skills,MIT
cs-agent-deployer,ai,Phase-4 specialist for making a Claude Managed Agent run without you. Turns a graded agent into a recurring POSIX-cron s,needs-tool-mapping,read_file|write_file|edit_file|glob|grep|run_shell_command,,alirezarezvani/claude-skills,MIT
cs-agent-grader,ai,Phase-3 specialist for the bounded grade→iterate loop when building a Claude Managed Agent. Defines a CMA outcome (requi,needs-tool-mapping,read_file|write_file|edit_file|glob|grep|run_shell_command,,alirezarezvani/claude-skills,MIT
cs-agent-interviewer,ai,"Phase-1 specialist for building a Claude Managed Agent — interviews the founder through the six intake slots (job, trigg",needs-tool-mapping,read_file|write_file|edit_file|glob|grep|run_shell_command,,alirezarezvani/claude-skills,MIT
cs-agent-launcher-orchestrator,ai,"Session-goal router for building Claude Managed Agents. Reads ./my-agent/goal.json, routes deterministically to a phase ",needs-tool-mapping,read_file|write_file|edit_file|glob|grep|run_shell_command,,alirezarezvani/claude-skills,MIT
cs-agile-product-owner,ai,"Agile product owner agent for epic breakdown, sprint planning, backlog refinement, and INVEST-compliant user story gener",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-cco-advisor,ai,"Retention-obsessed Chief Customer Officer advisor for honest retention decomposition (GRR vs NRR), customer segmentation",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-claude-coach,ai,Use proactively after any user message in a Claude.ai or Claude Code session where the user is learning to prompt better,fully-compatible,read_file|grep|glob|run_shell_command,,alirezarezvani/claude-skills,MIT
cs-cro-advisor,ai,"Pipeline-paranoid CRO advisor for revenue forecasting, sales motion, NRR, ramp time, and pipeline coverage",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-growth-strategist,ai,"Growth Strategist agent for revenue operations, sales engineering, customer success, and business development. Orchestra",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-notebooklm,ai,NotebookLM browser-automation persona. Walks 2-4 forcing intake questions (Q1 action: read / add source / Studio output ,fully-compatible,read_file|write_file|run_shell_command,,alirezarezvani/claude-skills,MIT
cs-product-strategist,ai,"Product strategy agent for quarterly OKR planning, competitive landscape analysis, product vision development, and strat",fully-compatible,read_file|write_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills,MIT
cs-roast-judge,ai,"Convenes a 5-angle adversarial panel (Critic, Champion, Analyst, Investigator, Customer) on a business idea, then acts a",needs-tool-mapping,read_file|run_shell_command|web_search,,alirezarezvani/claude-skills,MIT
cs-skill-doctor,ai,"Use when someone wants their agent setup graded from real conversation history, asks which of their installed skills act",fully-compatible,,,alirezarezvani/claude-skills,MIT
cs-wiki-ingestor,ai,"Dispatched sub-agent that ingests a new source into an LLM Wiki vault. Reads the source, proposes TL;DR and key claims, ",fully-compatible,read_file|write_file|edit_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills;alirezarezvani/claude-skills,MIT;MIT
cs-wiki-librarian,ai,"Dispatched sub-agent that answers queries against an LLM Wiki vault. Reads index.md first, drills into 3-10 relevant pag",fully-compatible,read_file|write_file|edit_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills;alirezarezvani/claude-skills,MIT;MIT
cs-wiki-linter,ai,Dispatched sub-agent that runs a periodic health check on an LLM Wiki vault. Runs mechanical checks via scripts (orphans,fully-compatible,read_file|write_file|edit_file|run_shell_command|grep|glob,,alirezarezvani/claude-skills;alirezarezvani/claude-skills,MIT;MIT
customer-success-manager-ai,ai,"Use this agent when you need to assess customer health, develop retention strategies, identify upsell opportunities, or ",fully-compatible,read_file|write_file|edit_file|glob|grep|web_fetch|web_search,,VoltAgent/awesome-claude-code-subagents,MIT
data-consolidation-agent,ai,"AI agent that consolidates extracted sales data into live reporting dashboards with territory, rep, and pipeline summari",fully-compatible,,,Raheel2774/agency-agents,MIT
data-exfiltrator,ai,Delegates to this agent when the user wants to test exfiltration and DLP/egress controls during an authorized engagement,fully-compatible,read_file|write_file|edit_file|grep|glob|web_fetch|web_search,,0xSteph/pentest-ai-agents,MIT
docker-expert,ai,"Use this agent when you need to build, optimize, or secure Docker container images and orchestration for production envi",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents;0xfurai/claude-code-subagents,MIT;MIT
elixir-expert-ai,ai,"Use this agent when you need to build fault-tolerant, concurrent systems leveraging OTP patterns, GenServer architecture",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents,MIT
email-intelligence-engineer,ai,"Expert in extracting structured, reasoning-ready data from raw email threads for AI agents and automation systems",fully-compatible,,,Raheel2774/agency-agents,MIT
engagement-planner,ai,"Delegates to this agent when the user needs to plan a penetration test, define attack methodology, scope an engagement, ",fully-compatible,read_file|write_file|edit_file|glob|grep|web_fetch|web_search,,0xSteph/pentest-ai-agents,MIT
engine-programmer,ai,"The Engine Programmer works on core engine systems: rendering pipeline, physics, memory management, resource loading, sc",fully-compatible,read_file|glob|grep|write_file|edit_file|run_shell_command,,Donchitos/Claude-Code-Game-Studios,MIT
error-coordinator,ai,"Expert error coordinator specializing in distributed error handling, failure recovery, and system resilience. Masters er",needs-tool-mapping,read_file|write_file|edit_file|glob|grep,,ankitmundada/awesome-gemini-cli-subagents;VoltAgent/awesome-claude-code-subagents;VoltAgent/awesome-codex-subagents,MIT;MIT;MIT
error-detective,ai,"Use this agent when you need to diagnose why errors are occurring in your system, correlate errors across services, iden",fully-compatible,read_file|write_file|edit_file|run_shell_command|glob|grep,,VoltAgent/awesome-claude-code-subagents,MIT
eval-engineer,ai,"Use when a task needs evaluation design for prompts, retrieval, tools, or multi-step agent workflows.",fully-compatible,,,VoltAgent/awesome-codex-subagents,MIT
eval-judge,ai,"LLM judge for plugin quality assessment. Scores skills on triggering accuracy, orchestration fitness, output quality, an",fully-compatible,read_file|grep|glob,,wshobson/agents,MIT
hr-onboarding,ai,"Comprehensive HR onboarding specialist for employee orientation, documentation management, compliance tracking, benefits",fully-compatible,,,Raheel2774/agency-agents,MIT
hub-coordinator,ai,Coordinator for AgentHub multi-agent collaboration sessions. Dispatches N parallel subagents in isolated git worktrees v,needs-tool-mapping,read_file|write_file|edit_file|glob|grep,,alirezarezvani/claude-skills,MIT
identity-graph-operator,ai,Operates a shared identity graph that multiple AI agents resolve against. Ensures every agent in a multi-agent system ge,fully-compatible,,,Raheel2774/agency-agents,MIT
image-generator,ai,Image generation executor agent. Delegates here for ALL generate_image calls to keep the main conversation context clean,requires-mcp,mcp__meigen__generate_image,meigen,wshobson/agents,MIT
image-prompt-engineer,ai,"Expert photography prompt engineer specializing in crafting detailed, evocative prompts for AI image generation. Masters",fully-compatible,,,Raheel2774/agency-agents,MIT
jest-expert,ai,"Expert in testing JavaScript applications using Jest, ensuring comprehensive test coverage and efficient test practices.",fully-compatible,,,0xfurai/claude-code-subagents,MIT
